exchange,instrumenttype,name,segment,symbol,symboltoken
NFO,OPTSTK,JINDALSTEL,NFO,JINDALSTEL28OCT25960CE,100085
NFO,OPTSTK,JINDALSTEL,NFO,JINDALSTEL28OCT251000PE,100090
NFO,OPTSTK,JINDALSTEL,NFO,JINDALSTEL28OCT251040PE,100096
NFO,OPTSTK,JINDALSTEL,NFO,JINDALSTEL28OCT251120CE,100103
NFO,OPTSTK,JIOFIN,NFO,JIOFIN30SEP25315CE,100156
NFO,OPTSTK,JIOFIN,NFO,JIOFIN30SEP25325CE,100159
NFO,OPTSTK,JIOFIN,NFO,JIOFIN30SEP25325PE,100160
NFO,OPTSTK,LTF,NFO,LTF25NOV25225CE,100180
NFO,OPTSTK,JIOFIN,NFO,JIOFIN28OCT25290PE,100241
NFO,OPTSTK,JIOFIN,NFO,JIOFIN28OCT25300CE,100242
NFO,OPTSTK,JIOFIN,NFO,JIOFIN28OCT25300PE,100243
NFO,OPTSTK,JIOFIN,NFO,JIOFIN28OCT25330PE,100249
NFO,OPTSTK,JSWENERGY,NFO,JSWENERGY30SEP25530CE,100309
NFO,OPTSTK,LTIM,NFO,LTIM25NOV254600CE,100333
NFO,OPTSTK,JSWENERGY,NFO,JSWENERGY30SEP25570PE,100354
NFO,OPTSTK,JSWENERGY,NFO,JSWENERGY28OCT25400PE,100421
NFO,OPTSTK,JSWENERGY,NFO,JSWENERGY28OCT25420CE,100422
NFO,OPTSTK,JSWENERGY,NFO,JSWENERGY28OCT25520CE,100446
NFO,OPTSTK,JSWSTEEL,NFO,JSWSTEEL30SEP25930PE,100506
NFO,OPTSTK,JSWSTEEL,NFO,JSWSTEEL30SEP251010CE,100516
NFO,OPTSTK,LUPIN,NFO,LUPIN28OCT251740PE,100531
NFO,OPTSTK,JSWSTEEL,NFO,JSWSTEEL30SEP251070PE,100532
NFO,OPTSTK,JSWSTEEL,NFO,JSWSTEEL30SEP251090CE,100533
NFO,OPTSTK,LUPIN,NFO,LUPIN28OCT252100CE,100572
NFO,OPTSTK,LUPIN,NFO,LUPIN25NOV251720CE,100633
NFO,OPTSTK,LUPIN,NFO,LUPIN25NOV251760CE,100635
NFO,OPTSTK,LUPIN,NFO,LUPIN25NOV251760PE,100636
NFO,OPTSTK,LUPIN,NFO,LUPIN25NOV251800CE,100637
NFO,OPTSTK,IOC,NFO,IOC30SEP25122PE,100638
NFO,OPTSTK,LUPIN,NFO,LUPIN25NOV251880CE,100643
NFO,OPTSTK,IOC,NFO,IOC30SEP25147CE,100665
NFO,OPTSTK,LUPIN,NFO,LUPIN25NOV252040PE,100688
NFO,OPTSTK,LUPIN,NFO,LUPIN25NOV252240CE,100698
NFO,OPTSTK,JSWSTEEL,NFO,JSWSTEEL28OCT25900PE,100777
NFO,OPTSTK,M&M,NFO,M&M28OCT253050PE,100809
NFO,OPTSTK,M&M,NFO,M&M28OCT253150CE,100811
NFO,OPTSTK,M&M,NFO,M&M25NOV252800CE,100857
NFO,OPTSTK,M&M,NFO,M&M25NOV252900CE,100859
NFO,OPTSTK,M&M,NFO,M&M25NOV253000PE,100862
NFO,OPTSTK,M&M,NFO,M&M25NOV253100PE,100864
NFO,OPTSTK,M&M,NFO,M&M25NOV253300CE,100867
NFO,OPTSTK,M&M,NFO,M&M25NOV253400CE,100869
NFO,OPTSTK,M&M,NFO,M&M25NOV253600CE,100873
NFO,OPTSTK,MANAPPURAM,NFO,MANAPPURAM28OCT25285PE,100968
NFO,OPTSTK,MANAPPURAM,NFO,MANAPPURAM28OCT25305CE,100971
NFO,OPTSTK,MANAPPURAM,NFO,MANAPPURAM25NOV25220CE,101001
NFO,OPTSTK,MANAPPURAM,NFO,MANAPPURAM25NOV25230CE,101003
NFO,OPTSTK,JSWSTEEL,NFO,JSWSTEEL28OCT251020PE,101014
NFO,OPTSTK,JSWSTEEL,NFO,JSWSTEEL28OCT251180PE,101033
NFO,OPTSTK,MANAPPURAM,NFO,MANAPPURAM25NOV25290CE,101073
NFO,OPTSTK,MANAPPURAM,NFO,MANAPPURAM25NOV25290PE,101074
NFO,OPTSTK,MANAPPURAM,NFO,MANAPPURAM25NOV25300CE,101084
NFO,OPTSTK,MANKIND,NFO,MANKIND28OCT252250CE,101144
NFO,OPTSTK,MANKIND,NFO,MANKIND28OCT252250PE,101145
NFO,OPTSTK,MANKIND,NFO,MANKIND28OCT252350PE,101147
NFO,OPTSTK,IRCTC,NFO,IRCTC30SEP25600PE,101201
NFO,OPTSTK,MANKIND,NFO,MANKIND25NOV252600PE,101202
NFO,OPTSTK,MANKIND,NFO,MANKIND25NOV252800PE,101213
NFO,OPTSTK,IRCTC,NFO,IRCTC30SEP25720PE,101233
NFO,OPTSTK,IRCTC,NFO,IRCTC30SEP25740PE,101235
NFO,OPTSTK,IRCTC,NFO,IRCTC30SEP25760CE,101236
