exchange,instrumenttype,name,segment,symbol,symboltoken
NSE,AMXIDX,NIFTY,NSE,Nifty 50,99926000
NSE,AMXIDX,NIFTY GROWSECT 15,NSE,Nifty GrowSect 15,99926001
NSE,AMXIDX,NIFTY50 PR 2X LEV,NSE,Nifty50 PR 2x Lev,99926002
NSE,AMXIDX,NIFTY 500,NSE,Nifty 500,99926004
NSE,AMXIDX,NIFTY IT,NSE,Nifty IT,99926008
NSE,AMXIDX,BANKNIFTY,NSE,Nifty Bank,99926009
NSE,AMXIDX,NIFTY MIDCAP 100,NSE,NIFTY MIDCAP 100,99926011
NSE,AMXIDX,NIFTY 100,NSE,Nifty 100,99926012
NSE,AMXIDX,NIFTYNXT50,NSE,Nifty Next 50,99926013
NSE,AMXIDX,NIFTY MIDCAP 50,NSE,Nifty Midcap 50,99926014
NSE,AMXIDX,HANGSENG BEES-NAV,NSE,HangSeng BeES-NAV,99926016
NSE,AMXIDX,INDIA VIX,NSE,India VIX,99926017
NSE,AMXIDX,NIFTY REALTY,NSE,Nifty Realty,99926018
NSE,AMXIDX,NIFTY INFRA,NSE,Nifty Infra,99926019
NSE,AMXIDX,NIFTY ENERGY,NSE,Nifty Energy,99926020
NSE,AMXIDX,NIFTY FMCG,NSE,Nifty FMCG,99926021
NSE,AMXIDX,NIFTY MNC,NSE,Nifty MNC,99926022
NSE,AMXIDX,NIFTY PHARMA,NSE,Nifty Pharma,99926023
NSE,AMXIDX,NIFTY PSE,NSE,Nifty PSE,99926024
NSE,AMXIDX,NIFTY PSU BANK,NSE,Nifty PSU Bank,99926025
NSE,AMXIDX,NIFTY SERV SECTOR,NSE,Nifty Serv Sector,99926026
NSE,AMXIDX,NIFTY AUTO,NSE,Nifty Auto,99926029
NSE,AMXIDX,NIFTY METAL,NSE,Nifty Metal,99926030
NSE,AMXIDX,NIFTY MEDIA,NSE,Nifty Media,99926031
NSE,AMXIDX,NIFTY SMLCAP 100,NSE,NIFTY SMLCAP 100,99926032
NSE,AMXIDX,NIFTY 200,NSE,Nifty 200,99926033
